candidate,task,rank,feature,importance,capacity_feature_importance_fraction
normalized_capacity,cancellation,33,ccrth_dest_departure_demand_120m_log1p,0.0299369967986177,0.05182229956876869
normalized_capacity,cancellation,34,ccrth_dest_departure_demand_30m_log1p,0.024978899847174194,0.05182229956876869
normalized_capacity,cancellation,35,ccrth_dest_expected_slack,0.02458794918850461,0.05182229956876869
normalized_capacity,cancellation,36,ccrth_origin_arrival_demand_15m_log1p,0.023860466776786424,0.05182229956876869
normalized_capacity,cancellation,37,ccrth_origin_direction_frontier_p50,0.018908176622124125,0.05182229956876869
normalized_capacity,cancellation,38,ccrth_origin_departure_demand_60m_log1p,0.01839494709512207,0.05182229956876869
normalized_capacity,cancellation,39,ccrth_dest_expected_direction_capacity,0.017809827564287527,0.05182229956876869
normalized_capacity,cancellation,40,ccrth_origin_direction_utilization,0.01600092469790323,0.05182229956876869
queue_shadow,cancellation,1,ccrth_dest_metro_movement_demand_60m_log1p,0.39908794743820813,0.07473382663909926
queue_shadow,cancellation,2,ccrth_dest_capacity_scenario_constrained_probability,0.398452647700034,0.07473382663909926
queue_shadow,cancellation,3,ccrth_dest_capacity_scenario_good_probability,0.37541896383176443,0.07473382663909926
queue_shadow,cancellation,4,ccrth_origin_weather_capacity_stress,0.31032215430903193,0.07473382663909926
queue_shadow,cancellation,5,ccrth_dest_weather_capacity_stress,0.27539650212050093,0.07473382663909926
queue_shadow,cancellation,6,ccrth_origin_capacity_scenario_good_probability,0.24342288620478653,0.07473382663909926
queue_shadow,cancellation,7,ccrth_origin_maximum_runway_length_kft,0.22651985503809585,0.07473382663909926
queue_shadow,cancellation,8,ccrth_dest_queue_p90,0.2257830569898321,0.07473382663909926
queue_shadow,cancellation,9,ccrth_dest_capacity_scenario_marginal_probability,0.21766215204129263,0.07473382663909926
queue_shadow,cancellation,10,ccrth_origin_metro_movement_demand_60m_log1p,0.19298533886988034,0.07473382663909926
queue_shadow,cancellation,11,ccrth_dest_runway_feasible_end_fraction,0.1865017802595588,0.07473382663909926
queue_shadow,cancellation,12,ccrth_origin_queue_p90,0.1740198982346816,0.07473382663909926
queue_shadow,cancellation,13,ccrth_origin_capacity_scenario_marginal_probability,0.16340206268666324,0.07473382663909926
queue_shadow,cancellation,14,ccrth_origin_flow_imbalance_60m,0.16027554980556397,0.07473382663909926
queue_shadow,cancellation,15,ccrth_origin_recovery_minutes,0.15976740314015794,0.07473382663909926
queue_shadow,cancellation,16,ccrth_origin_capacity_scenario_constrained_probability,0.12882810968763517,0.07473382663909926
queue_shadow,cancellation,17,ccrth_origin_expected_queue,0.11997505338878565,0.07473382663909926
queue_shadow,cancellation,18,ccrth_origin_runway_feasible_end_fraction,0.11901374735814928,0.07473382663909926
queue_shadow,cancellation,19,ccrth_dest_recovery_minutes,0.11266225510218403,0.07473382663909926
