airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
ATL,0.5688484929234366,-0.00014521066068462485,task_factorized_global_q4,0.348021131946111,6.707574530750993e-06,266525,origin
AUS,0.5244842807878287,-0.00038391296039663736,task_factorized_global_q4,0.3226194148602153,-2.282559557087449e-05,82370,origin
BDL,0.5258659995789594,-0.0008324564401118728,task_factorized_global_q4,0.3172099636349312,-7.863449568573655e-05,22764,origin
BHM,0.520658502117516,-0.000650362991392206,task_factorized_global_q4,0.3045828430176887,-5.913823477926572e-05,16638,origin
BNA,0.5309774800719,-0.0007391375657345156,task_factorized_global_q4,0.3247776139221877,-2.8385470350111852e-05,99747,origin
BOI,0.42330411115607414,3.3390512978292985e-05,task_factorized_global_q4,0.2516535398119088,1.7853952495650027e-05,23112,origin
BOS,0.5616752794671196,-0.0007285468100531878,task_factorized_global_q4,0.34348616832353723,-8.588847742996286e-05,138336,origin
BUF,0.5386537735625052,-0.000876951199254683,task_factorized_global_q4,0.32258983153930504,-0.0001629864825631877,20374,origin
BUR,0.48326010187789054,-0.0005481706958426757,task_factorized_global_q4,0.2789802733790882,-5.864976176050973e-06,29719,origin
BWI,0.5323784525857523,-0.00028543646140044565,task_factorized_global_q4,0.32196688874218216,-2.3538171080916825e-05,90284,origin
CHS,0.5543122060590593,-0.0013550815411762507,task_factorized_global_q4,0.32648088374966794,-0.00019058418039680225,24294,origin
CLE,0.5204724428110803,-0.001384491215611905,task_factorized_global_q4,0.308680590589803,-0.0001848416270283093,39356,origin
CLT,0.5762119552096391,-0.0012816959358703528,task_factorized_global_q4,0.35386950267021944,-7.128736981526496e-05,158932,origin
CMH,0.5125845483005735,-0.001296668476341467,task_factorized_global_q4,0.3070031755084782,-0.00016906333432459286,43587,origin
COS,0.548041265997563,-0.0009107804243868589,task_factorized_global_q4,0.331819037011827,-9.656894567056096e-06,13037,origin
