airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
LIT,0.5855129008400364,0.0,flare24,0.3515816922186452,0.0,12514,destination
MAF,0.5520808650361952,0.0,flare24,0.3352762890918648,0.0,9750,destination
MCI,0.5474095160234127,0.0,flare24,0.33469367689239254,0.0,47193,destination
MCO,0.5413114176949211,0.0,flare24,0.33340987140023104,0.0,150336,destination
MDW,0.4971896867504809,0.0,flare24,0.29750612688253614,0.0,71436,destination
MEM,0.5785711538730305,0.0,flare24,0.3539046042008327,0.0,23521,destination
MIA,0.5528773920691883,0.0,flare24,0.3384866128327462,0.0,104647,destination
MKE,0.5649565145160071,0.0,flare24,0.3464027983902645,0.0,27335,destination
MSN,0.5915047301596139,0.0,flare24,0.364222856758352,0.0,12642,destination
MSP,0.48465853691365357,0.0,flare24,0.2932464504840753,0.0,91502,destination
MSY,0.560112664185588,0.0,flare24,0.3390051010823299,0.0,50463,destination
MYR,0.5809800810818214,0.0,flare24,0.34910862760352923,0.0,12921,destination
OAK,0.46332180984051224,0.0,flare24,0.2785552619030147,0.0,33309,destination
OGG,0.3873959838174769,0.0,flare24,0.2149931013889239,0.0,24835,destination
OKC,0.5623373963282732,0.0,flare24,0.3451060040196045,0.0,23744,destination
OMA,0.5401396338505418,0.0,flare24,0.33273188809725895,0.0,23837,destination
ONT,0.5091020045821024,0.0,flare24,0.31260153251418754,0.0,25851,destination
ORD,0.5744578454836652,0.0,flare24,0.3510350167084319,0.0,257904,destination
ORF,0.5994815146989168,0.0,flare24,0.3645011445871067,0.0,19570,destination
PBI,0.6089147255777244,0.0,flare24,0.3810714253440857,0.0,28375,destination
PDX,0.4823716265619791,0.0,flare24,0.29172759427085204,0.0,58959,destination
PHL,0.582213265564279,0.0,flare24,0.35171475768176014,0.0,92543,destination
PHX,0.5038098174621619,0.0,flare24,0.305416143101197,0.0,175773,destination
PIT,0.5448055377357087,0.0,flare24,0.33237175688959963,0.0,41573,destination
PNS,0.5887094093747564,0.0,flare24,0.3514279925191498,0.0,13714,destination
