joint_log_loss,multiclass_brier,weight_baseline,weight_rotation_risk,weight_rotation_structural,weight_weather
0.44335379663220187,0.2658718281957225,0.05,0.8,0.0,0.15
0.4432556923425495,0.26581652461305333,0.05,0.75,0.05,0.15
0.4431617953049817,0.26576269288872767,0.05,0.7,0.1,0.15
0.4430719893605386,0.2657103330227456,0.05,0.65,0.15,0.15
0.4429861885464319,0.2656594450151072,0.05,0.6,0.2,0.15
0.44290433034464477,0.26561002886581236,0.05,0.55,0.25,0.15
0.44282637130577684,0.26556208457486113,0.05,0.5,0.3,0.15
0.44275228417299684,0.2655156121422535,0.05,0.45,0.35,0.15
0.4426820560234191,0.2654706115679895,0.05,0.4,0.4,0.15
0.44261568715322624,0.2654270828520691,0.05,0.35,0.45,0.15
0.44255319055528636,0.2653850259944924,0.05,0.3,0.5,0.15
0.44249459191874674,0.26534444099525917,0.05,0.25,0.55,0.15
0.4424399301430278,0.26530532785436955,0.05,0.2,0.6,0.15
0.4423892584198963,0.26526768657182365,0.05,0.15,0.65,0.15
0.44234264601256673,0.2652315171476213,0.05,0.1,0.7,0.15
0.4423001809728947,0.26519681958176256,0.05,0.05,0.75,0.15
0.4422619742301822,0.26516359387424737,0.05,0.0,0.8,0.15
0.44336565259485594,0.26588081233677013,0.05,0.75,0.0,0.2
0.4432691759472596,0.26582598695575216,0.05,0.7,0.05,0.2
0.4431768610838277,0.2657726334330778,0.05,0.65,0.1,0.2
0.4430886042217998,0.265720751768747,0.05,0.6,0.15,0.2
0.44300432921959326,0.2656703419627599,0.05,0.55,0.2,0.2
0.44292398176244285,0.26562140401511636,0.05,0.5,0.25,0.2
0.4428475255833201,0.2655739379258164,0.05,0.45,0.3,0.2
0.44277494000221745,0.2655279436948601,0.05,0.4,0.35,0.2
0.44270621838494845,0.2654834213222474,0.05,0.35,0.4,0.2
0.44264136729798265,0.2654403708079783,0.05,0.3,0.45,0.2
0.44258040624332384,0.2653987921520528,0.05,0.25,0.5,0.2
0.44252336793360153,0.2653586853544709,0.05,0.2,0.55,0.2
0.4424702991337926,0.2653200504152326,0.05,0.15,0.6,0.2
0.44242126216960337,0.2652828873343379,0.05,0.1,0.65,0.2
0.44237633730493686,0.2652471961117869,0.05,0.05,0.7,0.2
0.4423356263594587,0.2652129767475794,0.05,0.0,0.75,0.2
0.44338122180307754,0.2658907168509911,0.05,0.7,0.0,0.25
0.4432863280192283,0.2658363696716244,0.05,0.65,0.05,0.25
0.4431955618146327,0.26578349435060133,0.05,0.6,0.1,0.25
0.4431088300322385,0.2657320908879218,0.05,0.55,0.15,0.25
0.44302606522363264,0.265682159283586,0.05,0.5,0.2,0.25
0.44294722056796293,0.26563369953759375,0.05,0.45,0.25,0.25
0.44287226658008616,0.2655867116499451,0.05,0.4,0.3,0.25
0.442801189007161,0.26554119562064005,0.05,0.35,0.35,0.25
0.44273398757977084,0.2654971514496786,0.05,0.3,0.4,0.25
0.4426706754364147,0.26545457913706083,0.05,0.25,0.45,0.25
0.44261127913938014,0.26541347868278664,0.05,0.2,0.5,0.25
0.44255583927728176,0.26537385008685604,0.05,0.15,0.55,0.25
0.44250441172636457,0.265335693349269,0.05,0.1,0.6,0.25
0.44245706974108073,0.26529900847002563,0.05,0.05,0.65,0.25
0.4424139071989322,0.26526379544912587,0.05,0.0,0.7,0.25
0.44340036319981335,0.2659015417383854,0.05,0.65,0.0,0.3
0.4433070187833391,0.26584767276067,0.05,0.6,0.05,0.3
0.44321777760611053,0.2657952756412983,0.05,0.55,0.1,0.3
0.44313255582651523,0.26574435038027006,0.05,0.5,0.15,0.3
0.44305129387760445,0.2656948969775855,0.05,0.45,0.2,0.3
0.4429739519720642,0.26564691543324453,0.05,0.4,0.25,0.3
0.4429005072209283,0.2656004057472472,0.05,0.35,0.3,0.3
0.4428309518524342,0.26555536791959344,0.05,0.3,0.35,0.3
0.44276529224978267,0.26551180195028334,0.05,0.25,0.4,0.3
0.44270354866563416,0.26546970783931684,0.05,0.2,0.45,0.3
0.4426457555686923,0.2654290855866939,0.05,0.15,0.5,0.3
0.4425919626638072,0.26538993519241455,0.05,0.1,0.55,0.3
0.442542236726943,0.2653522566564789,0.05,0.05,0.6,0.3
0.44249666454435743,0.2653160499788868,0.05,0.0,0.65,0.3
