accuracy,accuracy_delta_vs_meta,airport,joint_log_loss,joint_log_loss_delta_vs_meta,multiclass_brier,multiclass_brier_delta_vs_meta,n,role,selected_method
0.7695863052781741,-5.7061340941522154e-05,RIC,0.5501434158806742,0.0023679577349244862,0.3287006101918033,0.00015653934676584935,17525,origin,boundary_gated_ensemble
0.8113444971445165,-0.00019359210144220818,RNO,0.4842413570915949,-0.0008454826015263928,0.2851458025561048,-0.0006368843976060079,20662,origin,boundary_gated_ensemble
0.7648779503732096,0.002118216663304473,ROC,0.5621815720425777,0.0009103307221138834,0.3378178355039244,-0.00034243418296092676,9914,origin,boundary_gated_ensemble
0.7869848668102304,0.0003244933478863121,RSW,0.5147495959765185,0.0007112500072298245,0.3092705609898343,-0.00021797748695029373,33899,origin,boundary_gated_ensemble
0.7763859015791009,-5.4041785108260854e-05,SAN,0.5361224920017966,0.00017818450750117787,0.3260431452595657,-0.00037938472519993827,92521,origin,boundary_gated_ensemble
0.8151891983613313,0.00024240661285235277,SAT,0.4761297737932925,0.0005669439792883035,0.280030620624916,-0.0001151306743017444,41253,origin,boundary_gated_ensemble
0.7772120692427247,0.00026796720081456726,SAV,0.5530214486051093,0.0023458588769751376,0.3240195825580116,-0.00020503026094231824,18659,origin,boundary_gated_ensemble
0.7957933612574877,0.00022519479349636384,SDF,0.5214499846753998,0.0015024832123886611,0.3038060176226493,-0.00012515158426484874,22203,origin,boundary_gated_ensemble
0.7723066526919682,-6.895410414831105e-05,SEA,0.5347732055742027,0.0005351199232264126,0.3310545734234885,0.00017897962204599382,145024,origin,boundary_gated_ensemble
0.7971290543083387,3.840216280981412e-05,SFO,0.4968998310441084,-1.5325198131910245e-05,0.30261271029576153,-0.00030997107343078145,130201,origin,boundary_gated_ensemble
0.8355721062197987,0.0,SJC,0.4325060262540686,-0.0007574609505937024,0.2544710275491289,-0.0006247847837313469,45114,origin,boundary_gated_ensemble
0.7826036329762459,0.0007277596646483309,SJU,0.5282137065094913,-0.001211251999728824,0.32448992874052995,-0.0009099618451983149,34352,origin,boundary_gated_ensemble
0.8230275844722059,0.00017816718370089468,SLC,0.4562259425726109,-0.00029910555428380725,0.27337967411861974,-0.00039400905219844073,95416,origin,boundary_gated_ensemble
0.8242736313125951,0.0002831156881480945,SMF,0.4504513887579015,-0.0009138581224283904,0.2684987829926107,-0.0007640055602708418,56514,origin,boundary_gated_ensemble
0.8121653708273197,-2.3278551143035564e-05,SNA,0.48820834788703305,-0.0008116813824366464,0.289038937789423,-0.0009550771373087463,42958,origin,boundary_gated_ensemble
0.7829930776486387,-0.0001758565010950841,STL,0.5181074187791799,0.0012952818237681463,0.31367501975915263,-2.3662137687674445e-05,62551,origin,boundary_gated_ensemble
0.7581271723573911,-0.0017378859129012492,SYR,0.5831076089075057,0.0020731453990827653,0.34927902901007607,-0.00035360424054659,9782,origin,boundary_gated_ensemble
0.7767879173538693,0.0005064737737490166,TPA,0.5254230048136307,0.00031009296737494196,0.3200967966646137,-0.0003729803498344064,77003,origin,boundary_gated_ensemble
0.7944574030878596,0.0003332222592469236,TUL,0.5236607304840983,0.001966642089374915,0.3073291684777959,-0.0001675788804219036,18006,origin,boundary_gated_ensemble
